ST	n_clusters	n_isolates	n_isolates_clusters	n_isolates_singletons	n_countries	n_countries_clusters	n_countries_singletons	n_sites	n_sites_clusters	n_sites_singletons	n_clones	n_clones_clusters	n_clones_singletons	mean_res_score	mean_res_score_clusters	mean_res_score_singletons	median_cluster_size	median_outbreak_duration
ST337	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST34	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST3430	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST359	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST36	0	3	0	3	3	0	3	3	0	3	1	0	1	0.7	NA	0.7	NA	NA
ST3661-3LV	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST3719	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST3794	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST395	0	1	0	1	1	0	1	1	0	1	1	0	1	2	NA	2	NA	NA
ST4	0	2	0	2	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST40	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST4074	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST4083	0	3	0	3	3	0	3	3	0	3	1	0	1	0.7	NA	0.7	NA	NA
ST413	0	2	0	2	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST416-2LV	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST43	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST433	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST4408	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST4411	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST464-1LV	0	1	0	1	1	0	1	1	0	1	1	0	1	2	NA	2	NA	NA
ST469	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST482	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST4860	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST4872	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST491	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST54	0	3	0	3	2	0	2	2	0	2	1	0	1	1	NA	1	NA	NA
ST540	0	2	0	2	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST542	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST551	0	2	0	2	2	0	2	2	0	2	1	0	1	1	NA	1	NA	NA
ST560	0	2	0	2	2	0	2	2	0	2	1	0	1	0.5	NA	0.5	NA	NA
ST5731	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST5785	0	1	0	1	1	0	1	1	0	1	1	0	1	2	NA	2	NA	NA
ST611	0	2	0	2	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST6126	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST628	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST6516	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST661	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST664	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
