iso1,iso2,dist,weeks,pair_location
103132,77867,2832,77.6,Same
103132,77982,2840,76.7,Same
103132,77986,2850,76.6,Same
103132,78020,2845,76.4,Same
103132,78028,2710,76.4,Same
103132,78037,2842,76.1,Same
103132,78150,2849,75.4,Same
103132,79771,9732,69.9,Same
103132,80181,9855,69.1,Same
103132,80409,9345,68.4,Same
103132,81045,9353,66.6,Same
103132,82187,9523,62.7,Same
103132,84249,9761,56.3,Same
103132,84586,9333,55.1,Same
103132,84587,1944,55.1,Same
103132,84588,9339,55,Same
103132,84590,1938,55.3,Same
103132,84682,1932,55,Same
103132,84774,9350,54.6,Same
103132,84816,7740,54.6,Same
103132,84817,1917,54.6,Same
103132,84883,1934,54.3,Same
103132,84906,1921,54.1,Same
103132,84920,1933,54,Same
103132,85130,1932,53.7,Same
103132,85135,1933,53.6,Same
103132,85420,1886,53.1,Same
103132,85550,1932,52.7,Same
103132,85900,1934,52.3,Same
103132,85908,1934,52.3,Same
103132,87339,9090,50,Same
103132,88197,9366,47.9,Same
103132,89999,9355,43.7,Same
103132,92044,9980,37.7,Same
103132,92868,9921,36,Same
103132,96134,4318,24.1,Same
103716,104170,10013,1.9,Same
103716,104646,9199,3.9,Same
103716,105046,9642,6.4,Same
103716,106175,9657,13.4,Same
103716,106180,9207,13.4,Same
103716,106221,9207,14.1,Same
103716,106847,10018,17.7,Same
103716,106859,9409,17.9,Same
103716,107400,9443,24.3,Same
103716,107702,9506,27.9,Same
103716,107830,9277,29.6,Same
103716,108059,9898,32,Same
103716,108242,9277,34.1,Same
103716,108243,9277,34.1,Same
103716,108297,9277,34.9,Same
103716,108372,9277,35.9,Same
103716,108386,9275,37.3,Same
103716,108396,9277,38,Same
103716,108403,9277,38.6,Same
103716,108404,9277,38.7,Same
103716,108410,9689,39.3,Same
103716,108550,9877,51.3,Same
103716,108594,9877,55.1,Same
103716,108620,10168,57.9,Same
103716,109463,9664,64.9,Same
103716,109575,10149,67.6,Same
103716,109644,10148,68.7,Same
103716,109794,9921,73,Same
103716,110274,9282,81.1,Same
103716,110517,9584,85.9,Same
103716,110687,9861,89.4,Same
103716,112036,9536,107,Same
103716,112163,8835,107.7,Same
103716,112311,9826,110.9,Same
103716,112334,9412,112.4,Same
103716,113298,9611,124.3,Same
103716,113443,9440,128.7,Same
103716,113974,9587,137,Same
103716,114233,9617,141.7,Same
103716,115359,9464,151.7,Same
103716,115514,9400,152.3,Same
103716,116433,9685,155.6,Same
103716,117956,9936,170.3,Same
103716,117990,9752,171.4,Same
103716,117991,9084,171.3,Same
103716,118002,9921,171.6,Same
103716,118062,9944,172.1,Same
103716,118071,9842,172.3,Same
103716,118802,9835,182,Same
103716,120547,10503,192.7,Same
103716,120784,9689,196.3,Same
103716,120896,9470,198,Same
103716,60308,9243,338.7,Same
103716,60695,10592,330.9,Same
103716,60726,10559,330,Same
103716,60733,10575,330,Same
103716,60737,9214,329.9,Same
103716,60739,10590,329.7,Same
103716,60826,10602,328.6,Same
103716,60827,10589,328.4,Same
103716,60883,10581,327.7,Same
103716,60914,10591,327.1,Same
103716,60930,10602,326.9,Same
103716,60952,10544,326.4,Same
103716,60953,10121,326.4,Same
103716,61157,9259,324.4,Same
103716,61271,9669,323,Same
103716,61918,9229,315.6,Same
103716,63004,9107,304.7,Same
103716,63770,10318,295.9,Same
103716,64476,9355,274.9,Same
103716,64602,9875,270.6,Same
103716,64631,9912,269.9,Same
103716,65002,9572,260,Same
103716,65516,9674,248.3,Same
103716,65587,9787,243.9,Same
103716,65614,9504,242.6,Same
103716,65830,9254,233.7,Same
103716,65858,10175,232.7,Same
103716,65881,10222,231.9,Same
103716,65885,10599,231.6,Same
103716,65889,10216,231.4,Same
103716,65931,9809,229.9,Same
103716,65962,9581,227.9,Same
103716,66013,9368,223.9,Same
103716,66044,9601,222,Same
103716,66181,10208,214.1,Same
103716,66470,29,206.1,Same
103716,66673,9283,203.1,Same
103716,66721,10607,202.4,Same
103716,66722,9854,202.6,Same
103716,66761,9597,201.1,Same
103716,66762,9595,201.1,Same
103716,66778,9597,201,Same
103716,66793,9597,200.6,Same
103716,66840,9597,199.4,Same
103716,66997,9750,194.4,Same
103716,67202,10123,182,Same
103716,67403,9685,175.7,Same
103716,67467,10123,174.7,Same
103716,67468,9679,174.9,Same
103716,67469,9587,174.7,Same
103716,67470,9475,174.9,Same
103716,67480,9679,174.7,Same
103716,67503,9678,174.4,Same
103716,67635,10299,171.9,Same
103716,67641,10300,171.7,Same
103716,67645,10300,171.6,Same
103716,67713,9630,169.6,Same
103716,67756,9527,168.6,Same
103716,67759,9527,168.6,Same
103716,67762,9527,168.6,Same
103716,67814,9682,168,Same
103716,67865,10300,166.9,Same
103716,68009,9725,164.9,Same
103716,68745,9860,158,Same
103716,68879,9632,156.7,Same
103716,69206,9478,154.1,Same
103716,69564,9478,151.9,Same
103716,69687,9478,150.3,Same
103716,69728,9478,150,Same
103716,70650,9956,137.7,Same
103716,70875,9428,127.7,Same
103716,71359,9863,121.9,Same
103716,75028,9384,97.6,Same
103716,77559,9126,83.4,Same
103716,77837,9372,80.4,Same
103716,77856,9380,80.3,Same
103716,77867,9356,80.1,Same
103716,77982,9369,79.3,Same
103716,77986,9379,79.1,Same
103716,78020,9354,79,Same
103716,78028,9432,79,Same
103716,78037,9362,78.7,Same
103716,78150,9381,78,Same
103716,79771,9881,72.4,Same
103716,80181,9973,71.7,Same
103716,80409,9691,71,Same
103716,81045,9698,69.1,Same
103716,82187,9749,65.3,Same
103716,84249,9711,58.9,Same
103716,84586,9681,57.7,Same
103716,84587,9263,57.7,Same
103716,84588,9679,57.6,Same
103716,84590,9218,57.9,Same
103716,84682,9258,57.6,Same
103716,84774,9696,57.1,Same
103716,84816,8930,57.1,Same
103716,84817,9045,57.1,Same
103716,84883,9259,56.9,Same
103716,84906,9235,56.7,Same
103716,84920,9258,56.6,Same
103716,85130,9258,56.3,Same
103716,85135,9247,56.1,Same
103716,85420,9159,55.7,Same
103716,85550,9259,55.3,Same
103716,85900,9260,54.9,Same
103716,85908,9259,54.9,Same
103716,87339,9440,52.6,Same
103716,88197,9726,50.4,Same
103716,89999,9700,46.3,Same
103716,92044,9718,40.3,Same
103716,92868,10237,38.6,Same
103716,96134,9237,26.7,Same
104170,104646,9860,2,Same
104170,105046,9774,4.6,Same
104170,106175,9784,11.6,Same
104170,106180,9920,11.6,Same
104170,106221,9920,12.3,Same
104170,106847,356,15.9,Same
104170,106859,9556,16,Same
104170,107400,9718,22.4,Same
104170,107702,9689,26,Same
104170,107830,9927,27.7,Same
104170,108059,9938,30.1,Same
104170,108242,9927,32.3,Same
104170,108243,9927,32.3,Same
104170,108297,9927,33,Same
104170,108372,9927,34,Same
104170,108386,9924,35.4,Same
104170,108396,9927,36.1,Same
104170,108403,9927,36.7,Same
104170,108404,9927,36.9,Same
104170,108410,9855,37.4,Same
104170,108550,10037,49.4,Same
104170,108594,10036,53.3,Same
104170,108620,9901,56,Same
104170,109463,10140,63,Same
104170,109575,9675,65.7,Same
104170,109644,9674,66.9,Same
104170,109794,10164,71.1,Same
104170,110274,9900,79.3,Same
104170,110517,9811,84,Same
104170,110687,10125,87.6,Same
104170,112036,9910,105.1,Same
104170,112163,9318,105.9,Same
104170,112311,9663,109,Same
104170,112334,9752,110.6,Same
104170,113298,9881,122.4,Same
104170,113443,9873,126.9,Same
104170,113974,9765,135.1,Same
104170,114233,9786,139.9,Same
104170,115359,9907,149.9,Same
104170,115514,10065,150.4,Same
104170,116433,9852,153.7,Same
104170,117956,10078,168.4,Same
104170,117990,9895,169.6,Same
104170,117991,9236,169.4,Same
104170,118002,10043,169.7,Same
104170,118062,10080,170.3,Same
104170,118071,9980,170.4,Same
104170,118802,10076,180.1,Same
104170,120547,9994,190.9,Same
104170,120784,9853,194.4,Same
104170,120896,9663,196.1,Same
104170,60308,9870,340.6,Same
104170,60695,9381,332.7,Same
104170,60726,9356,331.9,Same
104170,60733,9364,331.9,Same
104170,60737,9829,331.7,Same
104170,60739,9382,331.6,Same
104170,60826,9390,330.4,Same
104170,60827,9391,330.3,Same
104170,60883,9376,329.6,Same
